Functional Area,Month,Communications Sent,Month Name,Month Number,Year,System,Type,Response,View
UCM,01-01-2021,49861,January,202101,2021,Marketing Cloud,Email,12834,38891
Student Affairs,01-01-2021,700000,January,202101,2021,Marketing Cloud,Email,132300,245000
Recruiting,09-01-2020,3432,September,202009,2020,Marketing Cloud,Email,268,926
Recruiting,12-01-2020,1549831,December,202012,2020,Marketing Cloud,Email,632331,1053885
Recruiting,01-01-2021,31377,January,202101,2021,Marketing Cloud,Email,3598,9726
Recruiting,11-01-2020,100,November,202011,2020,Marketing Cloud,Email,42,100
Human Resources,09-01-2020,355184,September,202009,2020,TargetX Email,Email,80981,106555
Student Affairs,01-01-2021,80283,January,202101,2021,Marketing Cloud,Email,513,25690
WKSU,01-01-2021,92268,January,202101,2021,Marketing Cloud,Email,31970,41520
UCM,12-01-2020,245595,December,202012,2020,Marketing Cloud,Email,37158,218579
Student Affairs,01-01-2021,500000,January,202101,2021,Flashline,Portal Alert,392000,490000
IT,08-01-2020,38603,August,202008,2020,Marketing Cloud,Email,12738,25477
WKSU,10-01-2020,1029207,October,202010,2020,Marketing Cloud,Email,8130,10292
Academic Affairs,11-01-2020,34478,November,202011,2020,Flashline,Portal Alert,29764,30685
Student Affairs,10-01-2020,245595,October,202010,2020,Marketing Cloud,Email,75692,164548
IT,12-01-2020,49861,December,202012,2020,Marketing Cloud,Email,2273,11966
Recruiting,12-01-2020,40000,December,202012,2020,Marketing Cloud,Email,13724,18800
IT,11-01-2020,1029207,November,202011,2020,Marketing Cloud,Email,474052,1008622
IT,11-01-2020,125000,November,202011,2020,Marketing Cloud,Email,28000,40000
Human Resources,12-01-2020,373,December,202012,2020,Marketing Cloud,Email,4,11
Recruiting,10-01-2020,182327,October,202010,2020,Marketing Cloud,Email,14203,74754
Human Resources,01-01-2021,1271250,January,202101,2021,Marketing Cloud,Email,125091,1042425
Student Affairs,01-01-2021,11590,January,202101,2021,Marketing Cloud,Email,2909,3592
IT,09-01-2020,1549831,September,202009,2020,Marketing Cloud,Email,324379,356461
Student Affairs,01-01-2021,259644,January,202101,2021,Marketing Cloud,Email,205118,259644
Student Affairs,12-01-2020,87671,December,202012,2020,Marketing Cloud,Email,53654,59616
WKSU,01-01-2021,39863,January,202101,2021,Marketing Cloud,Email,6967,15147
Recruiting,11-01-2020,58502,November,202011,2020,Marketing Cloud,Email,8213,22815
UCM,12-01-2020,723568,December,202012,2020,Marketing Cloud,Email,21055,701860
