Functional Area,Month,Communications Sent,Month Name,Month Number,Year,System,Type,Response,View
Recruiting,1/1/21,36625,January,202101,2021,Marketing Cloud,Email,18,35
IT,9/1/20,27782,September,202009,2020,Marketing Cloud,Email,6,42
Human Resources,12/1/20,11590,December,202012,2020,Marketing Cloud,Email,29,91
Recruiting,1/1/21,136255,January,202101,2021,Marketing Cloud,Email,82,99
WKSU,12/1/20,49861,December,202012,2020,Marketing Cloud,Email,10,51
Recruiting,12/1/20,34478,December,202012,2020,Marketing Cloud,Email,31,62
WKSU,8/1/20,19871,August,202008,2020,Marketing Cloud,Email,58,89
IT,8/1/20,100,August,202008,2020,Marketing Cloud,Email,72,77
Student Affairs,9/1/20,1006194,September,202009,2020,Marketing Cloud,Email,1,20
UCM,9/1/20,47,September,202009,2020,Marketing Cloud,Email,15,47
WKSU,1/1/21,125000,January,202101,2021,Marketing Cloud,Email,24,59
Student Affairs,1/1/21,373,January,202101,2021,Cognos Report to Email,Email,7,13
Human Resources,11/1/20,19871,November,202011,2020,Phone,Phone Call,15,72
Student Affairs,1/1/21,47428,January,202101,2021,Marketing Cloud,Email,13,70
Academic Affairs,11/1/20,3432,November,202011,2020,Marketing Cloud,Email,70,79
Recruiting,1/1/21,1549831,January,202101,2021,Marketing Cloud,Email,20,64
Student Affairs,8/1/20,1029207,August,202008,2020,Marketing Cloud,Email,78,100
Recruiting,12/1/20,355184,December,202012,2020,Marketing Cloud,Email,46,65
Academic Affairs,1/1/21,92268,January,202101,2021,Marketing Cloud,Email,47,62
UCM,1/1/21,19871,January,202101,2021,Marketing Cloud,Email,9,10
IT,8/1/20,1029207,August,202008,2020,Marketing Cloud,Email,45,47
WKSU,10/1/20,373,October,202010,2020,Marketing Cloud,Email,73,80
Student Affairs,1/1/21,49861,January,202101,2021,Marketing Cloud,Email,62,96
Academic Affairs,8/1/20,92268,August,202008,2020,Flashline,Portal Alert,24,37
Academic Affairs,10/1/20,125000,October,202010,2020,Marketing Cloud,Email,46,86
Recruiting,1/1/21,87671,January,202101,2021,Marketing Cloud,Email,37,51
Human Resources,1/1/21,1379954,January,202101,2021,Marketing Cloud,Email,45,89
Recruiting,9/1/20,373,September,202009,2020,Marketing Cloud,Email,16,81
Student Affairs,1/1/21,1379954,January,202101,2021,Marketing Cloud,Email,45,87
WKSU,11/1/20,36625,November,202011,2020,Marketing Cloud,Email,18,83
Student Affairs,11/1/20,1549831,November,202011,2020,Flashline,Portal Alert,3,43
WKSU,1/1/21,500000,January,202101,2021,Marketing Cloud,Email,7,24
WKSU,1/1/21,80283,January,202101,2021,Marketing Cloud,Email,13,23
Recruiting,1/1/21,17131,January,202101,2021,Marketing Cloud,Email,18,39
UCM,11/1/20,1549831,November,202011,2020,Flashline,Portal Alert,30,36
Human Resources,1/1/21,49861,January,202101,2021,Marketing Cloud,Email,10,13
IT,11/1/20,11590,November,202011,2020,Marketing Cloud,Email,15,76
Recruiting,1/1/21,17131,January,202101,2021,TargetX Messaging,Text Message,9,18
UCM,1/1/21,245595,January,202101,2021,Marketing Cloud,Email,26,27
Human Resources,8/1/20,106010,August,202008,2020,Marketing Cloud,Email,17,27
Student Affairs,10/1/20,27782,October,202010,2020,Marketing Cloud,Email,17,51
